byte offset: 0
first index: 41385
index count: 44142
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

14091 14092 14093
14091 14094 14092
14092 14095 14093
14096 14093 14095
14096 14095 14097
14097 14098 14096
14097 14099 14098
14099 14100 14098
14099 14101 14100
14099 14102 14101
14099 14103 14102
14104 14103 14099
14104 14105 14103
14105 14104 14106
14091 14107 14094
14105 14106 14108
14107 14108 14106
14091 14108 14107
14109 14110 14111
14110 14112 14111
14110 14113 14112
14110 14114 14113
14109 14115 14110
14110 14115 14116
14110 14116 14117
14110 14117 14114
14118 14119 14120
14119 14118 14121
14120 14122 14118
14122 14120 14123
14123 14124 14122
14124 14123 14125
14126 14124 14125
14124 14126 14127
14126 14128 14127
14128 14126 14129
14130 14119 14121
14119 14130 14131
14132 14131 14130
14131 14132 14133
14134 14133 14132
14133 14134 14135
14134 14136 14135
14136 14134 14137
14138 14136 14137
14136 14138 14139
14140 14141 14142
14142 14143 14140
14143 14142 14144
14145 14143 14144
14143 14145 14146
14147 14146 14145
14146 14147 14148
14147 14149 14148
14150 14151 14152
14151 14150 14153
14154 14155 14156
14155 14154 14157
14158 14159 14160
14159 14158 14161
14162 14163 14164
14163 14162 14165
14166 14167 14168
14167 14166 14169
14170 14171 14172
14171 14170 14173
14174 14175 14176
14175 14174 14177
14178 14179 14180
14179 14178 14181
14182 14183 14184
14183 14182 14185
14186 14187 14188
14187 14186 14189
14190 14191 14192
14191 14190 14193
14194 14195 14196
14195 14194 14197
14198 14199 14200
14201 14199 14198
14202 14199 14201
14199 14202 14203
14204 14203 14202
14203 14204 14205
14206 14205 14204
14204 14207 14206
14208 14206 14207
14209 14206 14208
14206 14209 14210
14211 14210 14209
14210 14211 14212
14213 14212 14211
14212 14213 14214
14215 14200 14199
14216 14210 14212
14210 14216 14217
14217 14206 14210
14212 14218 14216
14218 14212 14214
14206 14217 14219
14219 14220 14206
14221 14206 14220
14206 14221 14205
14221 14203 14205
14203 14221 14222
14222 14199 14203
14199 14222 14223
14223 14215 14199
14224 14215 14223
14215 14224 14225
14226 14225 14224
14225 14226 14227
14226 14228 14227
14228 14226 14229
14229 14230 14228
14230 14229 14231
14232 14233 14234
14233 14232 14235
14236 14234 14233
14234 14236 14237
14236 14238 14237
14238 14236 14239
14239 14198 14238
14198 14239 14201
14240 14241 14242
14243 14240 14242
14242 14244 14243
14244 14242 14245
14245 14246 14244
14246 14245 14247
14246 14247 14248
14248 14249 14246
14250 14249 14248
14248 14251 14250
14251 14248 14252
14252 14253 14251
14253 14252 14254
14254 14255 14253
14255 14254 14256
14257 14242 14241
14252 14258 14254
14258 14252 14259
14248 14259 14252
14260 14254 14258
14254 14260 14256
14259 14248 14261
14261 14248 14262
14248 14263 14262
14263 14248 14247
14245 14263 14247
14263 14245 14264
14242 14264 14245
14264 14242 14265
14265 14242 14257
14257 14266 14265
14266 14257 14267
14268 14266 14267
14266 14268 14269
14270 14269 14268
14269 14270 14271
14272 14271 14270
14271 14272 14273
14274 14275 14276
14275 14274 14277
14276 14278 14274
14278 14276 14279
14279 14280 14278
14280 14279 14281
14240 14280 14281
14280 14240 14243
14282 14283 14284
14283 14282 14285
14286 14287 14288
14287 14286 14289
14290 14289 14286
14289 14290 14291
14290 14292 14291
14292 14290 14293
14293 14294 14292
14294 14293 14295
14296 14294 14295
14294 14296 14297
14298 14297 14296
14297 14298 14299
14300 14299 14298
14299 14300 14301
14302 14301 14300
14302 14300 14303
14304 14305 14306
14305 14304 14307
14306 14308 14304
14308 14306 14309
14307 14310 14305
14310 14307 14311
14312 14313 14314
14313 14312 14315
14316 14315 14312
14315 14316 14317
14318 14317 14316
14317 14318 14319
14320 14319 14318
14319 14320 14321
14322 14323 14324
14325 14322 14324
14325 14324 14326
14323 14327 14324
14326 14324 14328
14328 14324 14329
14329 14324 14330
14330 14324 14331
14331 14324 14332
14332 14324 14333
14334 14333 14324
14327 14334 14324
14335 14325 14326
14335 14326 14328
14328 14336 14335
14337 14336 14328
14337 14328 14329
14338 14337 14329
14338 14329 14330
14339 14330 14331
14340 14339 14331
14340 14332 14333
14340 14331 14332
14334 14341 14333
14341 14340 14333
14342 14338 14330
14339 14342 14330
14343 14344 14345
14345 14344 14346
14347 14346 14344
14346 14347 14348
14349 14348 14347
14345 14346 14350
14350 14346 14351
14351 14346 14348
14351 14348 14352
14352 14348 14353
14353 14348 14349
14353 14349 14354
14354 14355 14353
14354 14356 14355
14356 14354 14357
14356 14358 14355
14358 14353 14355
14358 14356 14359
14359 14356 14360
14359 14361 14358
14353 14361 14352
14361 14353 14358
14361 14351 14352
14359 14362 14361
14362 14351 14361
14363 14362 14359
14364 14362 14363
14364 14365 14362
14365 14350 14351
14362 14365 14351
14365 14364 14366
14366 14367 14365
14367 14366 14368
14359 14369 14363
14369 14359 14360
14370 14363 14369
14371 14363 14370
14372 14371 14370
14373 14363 14371
14372 14373 14371
14373 14372 14374
14374 14372 14375
14376 14373 14374
14377 14376 14374
14376 14377 14378
14378 14379 14376
14379 14378 14380
14373 14376 14381
14379 14381 14376
14381 14379 14382
14383 14382 14379
14380 14383 14379
14382 14383 14384
14383 14380 14385
14380 14386 14385
14386 14380 14387
14378 14387 14380
14387 14388 14386
14388 14387 14389
14390 14389 14387
14387 14378 14390
14390 14378 14377
14389 14390 14391
14392 14391 14390
