byte offset: 0
first index: 85527
index count: 3336
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

27288 27289 27290
27291 27290 27289
27289 27288 27292
27292 27288 27293
27293 27288 27294
27293 27294 27295
27296 27290 27291
27297 27290 27296
27298 27290 27297
27298 27297 27299
27298 27299 27300
27301 27295 27294
27302 27295 27301
27303 27302 27301
27303 27301 27304
27305 27303 27304
27305 27304 27306
27305 27306 27307
27308 27305 27307
27309 27308 27307
27309 27307 27310
27311 27309 27310
27312 27309 27311
27311 27313 27312
27313 27314 27312
27314 27315 27312
27316 27317 27318
27316 27319 27317
27320 27318 27317
27319 27316 27321
27316 27322 27321
27322 27323 27324
27324 27323 27325
27326 27325 27323
27327 27328 27320
27328 27327 27329
27329 27330 27328
27330 27329 27331
27332 27330 27331
27330 27332 27333
27334 27333 27332
27333 27334 27335
27336 27335 27334
27337 27336 27334
27338 27336 27337
27339 27338 27337
27337 27340 27339
27341 27339 27340
27341 27342 27339
27343 27342 27341
27341 27344 27343
27345 27346 26209
26209 27347 27345
27347 26209 27348
27349 27348 26209
27348 27349 27350
27350 27351 27348
27351 27350 27352
27352 27353 27351
27353 27352 27354
27347 27348 27355
27348 27351 27355
27356 27351 27353
27351 27356 27355
27357 27355 27356
27355 27357 27358
27358 27347 27355
27356 27359 27357
27359 27356 27360
27353 27360 27356
27361 27359 27360
27360 27353 27362
27354 27362 27353
27362 27363 27360
27364 27363 27362
27362 27354 27364
27363 27364 27365
27366 27361 27360
27363 27366 27360
27366 27367 27361
27363 27368 27366
27367 27369 27361
27370 27361 27369
27371 27368 27363
27363 27372 27371
27373 27372 27363
27373 27363 27365
27374 27373 27365
27375 27372 27373
27373 27376 27375
27376 27377 27375
27378 27377 27376
27376 27373 27378
27377 27378 27379
27380 27379 27378
27373 27380 27378
27380 27373 27374
27379 27380 27381
27380 27382 27381
27382 27380 27383
27383 27384 27382
27384 27383 27385
27386 27384 27385
27387 27380 27374
27380 27387 27383
27387 27385 27383
27374 27388 27387
27389 27387 27388
27385 27387 27389
27388 27390 27389
27390 27385 27389
27385 27390 27386
27390 27388 27391
27390 27392 27386
27392 27393 27386
27384 27386 27393
27394 27393 27392
27392 27395 27394
27395 27396 27391
27395 27392 27396
27392 27390 27396
27391 27396 27390
27391 27397 27395
27395 27398 27394
27398 27399 27394
27400 27399 27398
27398 27401 27400
27401 27402 27400
27402 27403 27400
27404 27403 27402
27402 27405 27404
27405 27406 27404
27406 27407 27404
27408 27407 27406
27407 27408 27409
27408 27410 27409
27411 27410 27408
27406 27411 27408
27410 27411 27412
27412 27411 27413
27406 27405 27413
27411 27406 27413
27413 27405 27414
27413 27415 27412
27414 27415 27413
27416 27414 27405
27405 27402 27416
27402 27401 27416
27416 27401 27417
27417 27414 27416
27415 27418 27412
27418 27419 27412
27419 27420 27412
27420 27410 27412
27420 27419 27421
27422 27421 27419
27419 27423 27422
27423 27419 27418
27423 27418 27424
27425 27422 27423
27410 27420 27426
27421 27426 27420
27426 27421 27427
27428 27426 27427
27409 27426 27428
27421 27429 27427
27429 27421 27422
27425 27429 27422
27430 27427 27429
27427 27430 27428
27429 27425 27431
27431 27425 27423
27432 27429 27431
27430 27429 27432
27432 27431 27433
27431 27434 27433
27433 27434 27435
27424 27436 27423
27436 27431 27423
27424 27437 27436
27431 27436 27437
27437 27435 27434
27434 27431 27437
27437 27424 27438
27438 27424 27439
27438 27440 27437
27435 27437 27440
27441 27435 27440
27441 27440 27442
27443 27441 27442
27444 27443 27442
27442 27445 27444
27446 27445 27442
27442 27440 27446
27440 27438 27446
27445 27446 27447
27447 27448 27445
27448 27447 27449
27450 27449 27447
27449 27450 27451
27452 27451 27450
27451 27452 27453
27454 27447 27446
27447 27454 27450
27450 27454 27455
27450 27455 27452
27448 27456 27445
27456 27457 27445
27458 27444 27445
27457 27458 27445
27448 27459 27456
27448 27460 27459
27453 27452 27461
27452 27455 27461
27461 27462 27453
27462 27463 27453
27462 27464 27463
27465 27464 27462
27465 27466 27464
27466 27467 27464
27466 27468 27467
27469 27467 27468
27467 27469 27470
27464 27467 27470
27470 27471 27464
27468 27472 27469
27472 27468 27473
27468 27466 27474
27474 27473 27468
27473 27474 27475
27476 27475 27474
27475 27476 27477
27439 27477 27476
27477 27439 27478
27424 27478 27439
27474 27466 27479
27479 27476 27474
27476 27480 27439
27480 27476 27481
27481 27476 27479
27481 27454 27480
27446 27480 27454
27480 27446 27438
27438 27439 27480
27454 27481 27455
27461 27481 27479
27481 27461 27455
27479 27462 27461
27462 27479 27465
27465 27479 27466
27424 27418 27478
27478 27482 27477
27483 27477 27482
27482 27484 27483
27485 27483 27484
27483 27485 27486
27487 27486 27485
27486 27487 27488
27484 27482 27489
27490 27489 27482
27489 27490 27491
27415 27491 27490
27415 27490 27418
27491 27415 27414
27485 27492 27487
27492 27485 27493
27484 27493 27485
27494 27492 27493
27492 27494 27495
27493 27496 27494
27496 27493 27497
27493 27484 27497
27489 27497 27484
27497 27498 27496
27498 27497 27499
27497 27489 27499
27491 27499 27489
27499 27500 27498
27500 27499 27501
